,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,M1B,43.806686299999996,-79.19435340000001,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
1,M1C,43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
2,M1C,43.7845351,-79.16049709999999,Scarborough Historical Society,43.78875526434558,-79.162437915802,History Museum
3,M1E,43.7635726,-79.1887115,RBC Royal Bank,43.76678992471017,-79.19115118872593,Bank
4,M1E,43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
5,M1E,43.7635726,-79.1887115,Big Bite Burrito,43.766299084470795,-79.19071980583941,Mexican Restaurant
6,M1E,43.7635726,-79.1887115,Enterprise Rent-A-Car,43.7640757,-79.1934057,Rental Car Location
7,M1E,43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771973,Medical Center
8,M1E,43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767704,-79.18949,Intersection
9,M1E,43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
10,M1G,43.7709921,-79.21691740000001,Starbucks,43.770037201625215,-79.22115586641958,Coffee Shop
11,M1G,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
12,M1G,43.7709921,-79.21691740000001,Korean Grill House,43.7708117291354,-79.21450208834013,Korean Restaurant
13,M1G,43.7709921,-79.21691740000001,Leslie & Giles Insurance Limited,43.7731162,-79.2195586,Insurance Office
14,M1H,43.773136,-79.23947609999999,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
15,M1H,43.773136,-79.23947609999999,Drupati's Roti & Doubles,43.775222138791534,-79.24167761001029,Caribbean Restaurant
16,M1H,43.773136,-79.23947609999999,Thai One On,43.77446763641413,-79.24126833717742,Thai Restaurant
17,M1H,43.773136,-79.23947609999999,Centennial Recreation Centre,43.77459330890341,-79.23649962433035,Athletics & Sports
18,M1H,43.773136,-79.23947609999999,TD Canada Trust,43.7748302,-79.2412514,Bank
19,M1H,43.773136,-79.23947609999999,B&A Bakery,43.77439074389114,-79.24387684648542,Bakery
20,M1H,43.773136,-79.23947609999999,Petro-Canada,43.774106,-79.243097,Gas Station
21,M1H,43.773136,-79.23947609999999,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
22,M1J,43.7447342,-79.23947609999999,McCowan Park,43.74508851212816,-79.239335687338,Playground
23,M1J,43.7447342,-79.23947609999999,True Discount Convenience Store,43.74385420196717,-79.24464963318577,Convenience Store
24,M1K,43.7279292,-79.26202940000002,Giant Tiger,43.72744662939136,-79.26624035854763,Department Store
25,M1K,43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
26,M1K,43.7279292,-79.26202940000002,Tandy Leather,43.7269737868054,-79.26651349240451,Hobby Shop
27,M1K,43.7279292,-79.26202940000002,Dollarama,43.72659620252377,-79.26682995710473,Discount Store
28,M1K,43.7279292,-79.26202940000002,Kennedy GO Station,43.73227476873184,-79.26241750386065,Train Station
29,M1K,43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
30,M1L,43.711111700000004,-79.2845772,Dairy Queen,43.71037770465013,-79.29070115089417,Ice Cream Shop
31,M1L,43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
32,M1L,43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913774,Bus Line
33,M1L,43.711111700000004,-79.2845772,Warden Subway Station,43.71122905571982,-79.27960224480387,Metro Station
34,M1L,43.711111700000004,-79.2845772,TTC Bus 102 Markham Road,43.711381420906115,-79.27958752636661,Bus Line
35,M1L,43.711111700000004,-79.2845772,Bakery On The Go,43.711270905205765,-79.27950587661704,Bakery
36,M1L,43.711111700000004,-79.2845772,Cafe on the go,43.71115104374148,-79.27946923512921,Bakery
37,M1L,43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
38,M1L,43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.71523429184505,-79.28650639185544,Soccer Field
39,M1M,43.716316,-79.23947609999999,Have A Nap Motel,43.718256,-79.240135,Motel
40,M1M,43.716316,-79.23947609999999,Vincent's Spot,43.71700152544261,-79.24235338465942,American Restaurant
41,M1N,43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481682,Café
42,M1N,43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
43,M1N,43.692657000000004,-79.2648481,Scarborough Gardens,43.6946465192162,-79.26223031725522,Skating Rink
44,M1N,43.692657000000004,-79.2648481,Birchmount Stadium,43.695322867712626,-79.26129341125488,College Stadium
45,M1P,43.7574096,-79.27330400000001,Kairali,43.754914739291834,-79.27694504646365,Indian Restaurant
46,M1P,43.7574096,-79.27330400000001,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
47,M1P,43.7574096,-79.27330400000001,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
48,M1P,43.7574096,-79.27330400000001,Pho Vietnam,43.757770305647185,-79.27857193068989,Vietnamese Restaurant
49,M1P,43.7574096,-79.27330400000001,Big Al's Pet Supercentre,43.75927894411595,-79.27832544749343,Pet Store
50,M1R,43.750071500000004,-79.2958491,Crown Pastries,43.746098,-79.293142,Bakery
51,M1R,43.750071500000004,-79.2958491,Wexford Restaurant,43.7460300445972,-79.29384330907153,Breakfast Spot
52,M1R,43.750071500000004,-79.2958491,Subway,43.746267251959516,-79.29319313129918,Sandwich Place
53,M1R,43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
54,M1R,43.750071500000004,-79.2958491,Wexford Heights Plaza,43.74613567457937,-79.29378248248864,Shopping Mall
55,M1R,43.750071500000004,-79.2958491,Frank's Smoke Shop,43.74589,-79.29494,Smoke Shop
56,M1R,43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.75128820404063,-79.30150777101517,Auto Garage
57,M1R,43.750071500000004,-79.2958491,Banh Mi Metro,43.74583,-79.295309,Vietnamese Restaurant
58,M1S,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
59,M1S,43.7942003,-79.26202940000002,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
60,M1S,43.7942003,-79.26202940000002,Twilight,43.791999483291015,-79.25858447143591,Lounge
61,M1S,43.7942003,-79.26202940000002,Royal Chinese Seafood Restaurant,43.798496,-79.262196,Chinese Restaurant
62,M1T,43.7816375,-79.3043021,Remezzo Italian Bistro,43.778649,-79.308264,Italian Restaurant
63,M1T,43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,43.78050473445372,-79.29884391314476,Chinese Restaurant
64,M1T,43.7816375,-79.3043021,Eight Noodles,43.77823412485005,-79.30829897588661,Noodle House
65,M1T,43.7816375,-79.3043021,TD Canada Trust,43.7791686,-79.3036167,Bank
66,M1T,43.7816375,-79.3043021,Kub Khao,43.780437780734204,-79.2998370364667,Thai Restaurant
67,M1T,43.7816375,-79.3043021,Petro-Canada,43.779337,-79.307682,Gas Station
68,M1T,43.7816375,-79.3043021,Popeyes Louisiana Kitchen,43.780476,-79.29846,Fried Chicken Joint
69,M1T,43.7816375,-79.3043021,Little Caesars Pizza,43.78056271894292,-79.2986242771319,Pizza Place
70,M1T,43.7816375,-79.3043021,KFC,43.7804,-79.3007,Fast Food Restaurant
71,M1T,43.7816375,-79.3043021,Enterprise Rent-A-Car,43.77950644323062,-79.30680559697629,Rental Car Location
72,M1T,43.7816375,-79.3043021,Tim Hortons,43.781539295931665,-79.29890736937523,Coffee Shop
73,M1T,43.7816375,-79.3043021,Warden Ave. & Sheppard Ave. E,43.77850036394506,-79.30767709893647,Intersection
74,M1T,43.7816375,-79.3043021,Gusto Pizza,43.78360724036883,-79.29898327417831,Pizza Place
75,M1T,43.7816375,-79.3043021,Rexall,43.78073190083844,-79.2982568317862,Pharmacy
76,M1V,43.8152522,-79.2845772,Lickety's,43.81613567921463,-79.28794384002686,Coffee Shop
77,M1V,43.8152522,-79.2845772,Port Royal Park,43.815477,-79.289773,Park
78,M1V,43.8152522,-79.2845772,Milliken Public School Playground,43.81538282984429,-79.2898673242174,Playground
